Gene > WormBase Gene ID,Gene > Gene Name,Gene > Sequence Name,Gene > Brief Description,Gene > Chromosome Location > Feature . Primary Identifier,Gene > Chromosome Location > Start,Gene > Chromosome Location > End,Gene > Chromosome Location > Strand,Gene > Organism
WBGene00004245,puf-9,W06B11.2,"The puf-9 gene encodes a predicted RNA binding protein orthologous to Drosophila PUMILIO and human PUMILIO 2 (OMIM:607205); PUF-9 is required for normal locomotion and fluid balance, and is expressed primarily in somatic tissues; PUF-9 contains a glutamine/asparagine-rich domain.",WBGene00004245,5841592,5845988,1,Caenorhabditis elegans
WBGene00004315,rbd-1,T23F6.4,"rbd-1 encodes an ortholog of S. cerevisiae Mrd1p; RBD-1 is required for processing of 18S rRNA and subsequent formation of the 40S ribosomal subunit, and is essential for normal development; in addition, RBD-1 may suppress tumorous growth in the germ line by ensuring robust larval germline proliferation; like PRO-1, -2, and -3, RBD-1's role in ribosome biogenesis suggests a link between biogenesis in the distal sheath and control of cell division in the germ line; RBD-1 localizes to the nucleolus.",WBGene00004315,12724920,12730095,1,Caenorhabditis elegans
WBGene00004384,rnp-1,ZK863.7,,WBGene00004384,12192275,12194445,1,Caenorhabditis elegans
WBGene00004385,rnp-2,K08D10.4,"rnp-2 encodes the small nuclear ribonucleoprotein (snRNP)-associated  protein RNP-2/U1A, which associates with U1 snRNPs; rnp-2 is coexpressed  with rnp-3, dnj-15, and K08D10.12 in an operon; RNP-2 and RNP-3 are  paralogs with ~50% identity that are more closely related to one another  than to non-nematode orthologs; despite their association with distinct  snRNPs, RNP-2 and RNP-3 are functionally interchangeable in vivo; either  rnp-2(RNAi) or rnp-3(ok1424) animals are viable, with only rnp-2(RNAi)  rnp-3(ok1424) animals showing lethality; moreover, RNAi against only  RNP-3 causes RNP-2 to associate with RNP-3's normal U2 snRNP partners.",WBGene00004385,4172102,4173988,1,Caenorhabditis elegans
WBGene00004386,rnp-3,K08D10.3,"rnp-3 encodes the small nuclear ribonucleoprotein (snRNP)-associated protein RNP-3/U2B''; genetically, rnp-3 appears to function redundantly with rnp-2/U1A: loss of rnp-3 activity alone results in low levels of embryonic and total lethality, while animals doubly mutant for rnp-3 and rnp-2/U1A show much higher levels of embryonic and total lethality; in addition, animals doubly mutant for SAP-1/U2A' and RNP-3/U2B'', display a much more severe phenotype than either single mutation, indicating that in vivo, these proteins have some independent functions; immunoprecipitation experiments indicate that RNP-3 associates with U2 RNA in vivo and that this association does not require the presence of SAP-1/U2A'.",WBGene00004386,4174085,4176266,1,Caenorhabditis elegans
WBGene00004387,rnp-4,R07E5.14,"rnp-4 encodes a putative member of the exon-exon junction complex, orthologous to Y14 in S. cerevisiae and TSUNAGI in D. melanogaster; RNP-4 is required for embryonic viability, fertility, vulval development, and cuticular integrity; however, rnp-4(RNAi) animals show no accumulation of poly(A)+ mRNA in their nuclei, indicating that RNP-4 is dispensable for mRNA export.",WBGene00004387,4406286,4407326,1,Caenorhabditis elegans
WBGene00004388,rnp-5,K02F3.11,"rnp-5 encodes a putative member of the exon-exon junction complex, orthologous to human RNPS1 (OMIM:606447); RNP-5 is dispensable for embryonic viability.",WBGene00004388,852801,853909,-1,Caenorhabditis elegans
WBGene00004389,rnp-6,Y47G6A.20,"rnp-6 encodes an ortholog of HALF-PINT in D. melanogaster and FBP Interacting Repressor (FIR)/PUF60 in mammals, predicted to be involved in mRNA splicing regulation, mRNA localization, or transcriptional regulation via TFIIH.",WBGene00004389,3539043,3546904,-1,Caenorhabditis elegans
WBGene00004390,rnp-7,K04G7.10,,WBGene00004390,7158911,7161157,-1,Caenorhabditis elegans
WBGene00004405,rop-1,C12D8.11,"rop-1 encodes an RNAi-binding protein that is orthologous to the vertebrate 60-kDa Ro autoantigen that is the protein component of the Ro ribonucleoprotein (RNP) complex; ROP-1 binds the single C. elegans Ro RNP RNA component, YRN-1 (Y RNA) in vivo and although loss of rop-1 activity via mutation results in no obvious visible phenotypes, it does result in a dramatic decrease in YRN-1 levels, indicating that ROP-1 is necessary for maintaining normal levels of the Ro RNP Y RNA; in addition, rop-1 mutations also result in a statistically significant increase in mutant 5S rRNA molecules found in ribosomal RNA preparations, suggesting that ROP-1 may play a role in quality control of 5S rRNA processing; rop-1 mRNA is detectable during all stages of development, and rop-1 promoter fusions appear to be expressed in all cell types, except the germline.",WBGene00004405,10252822,10255055,-1,Caenorhabditis elegans
WBGene00004472,rps-3,C23G10.3,"rps-3 encodes a small ribosomal subunit S3 protein that contains a KH RNA-binding domain and by homology,is predicted to function in protein biosynthesis; in C. elegans, RPS-3 activity is required for embryonic and germline development, as well as the overall health of the animal.",WBGene00004472,6206803,6208317,1,Caenorhabditis elegans
WBGene00004698,rsp-1,W02B12.3,rsp-1 encodes the C. elegans ortholog of the vertebrate SRp75 splicing factor and member of the SR protein family of nuclear phosphoproteins that are required for constitutive splicing and influence alternative splicing regulation.,WBGene00004698,11453980,11455807,1,Caenorhabditis elegans
WBGene00004699,rsp-2,W02B12.2,rsp-2 encodes the C. elegans ortholog of the vertebrate SRp40 splicing factor and member of the SR protein family of nuclear phosphoproteins that are required for constitutive splicing and influence alternative splicing regulation.,WBGene00004699,11451444,11452955,-1,Caenorhabditis elegans
WBGene00004700,rsp-3,Y111B2A.18,"rsp-3 encodes an ortholog of human SF2/ASF and member of the SR protein family of nuclear phosphoproteins that are required for constitutive splicing and influence alternative splicing regulation; rsp-3 affects the development of oocytes together with rsr-1, and is required for late embryonic viability; SPK-1 binds directly to and phosphorylates the RS domain of RSP-3 in vitro; the rsp-3 mRNA is predominantly expressed in the germline.",WBGene00004700,12686461,12687916,-1,Caenorhabditis elegans
WBGene00004701,rsp-4,EEED8.7,"rsp-4 encodes, along with rsp-5, one of two C. elegans orthologs of the vertebrate SC35 splicing factor and member of the SR protein family of nuclear phosphoproteins that are required for constitutive splicing and influence alternative splicing regulation.",WBGene00004701,5387419,5388830,-1,Caenorhabditis elegans
WBGene00004702,rsp-5,T28D9.2,"rsp-5 encodes, along with rsp-4, one of two C. elegans orthologs of the vertebrate SC35 splicing factor and member of the SR protein family of nuclear phosphoproteins that are required for constitutive splicing and influence alternative splicing regulation.",WBGene00004702,6490158,6491337,1,Caenorhabditis elegans
WBGene00004703,rsp-6,C33H5.12,"rsp-6 encodes an RNA binding protein that is the C. elegans ortholog of the vertebrate SFRS3/SRp20 pre-mRNA splicing factors; although loss of rsp-6 activity alone results in no obvious abnormalities, RNAi experiments targeting multiple RSP proteins indicate that, in combination with other RSP proteins, RSP-6 plays a role in embryonic and larval  development, germline sex determination (sperm-oocyte switch), somatic gonad and vulval development, body morphology, gut function, and normal growth rates; in addition to its predicted role in regulation of pre-mRNA splicing, RSP-6 also appears to play a role in some aspect of transcription termination, as rsp-6(lf) suppresses the SynMuv phenotype of lin-15(n765), a complex mutation that includes transposition of the 3'end of another gene into lin-15B; an RSP-6::GFP fusion protein is expressed beginning at the 20-30-cell stage of embryogenesis and localizes to the  nucleus.",WBGene00004703,7789845,7791235,-1,Caenorhabditis elegans
WBGene00004704,rsp-7,D2089.1,rsp-7 encodes the C. elegans ortholog of the vertebrate p54 splicing factor and member of the SR protein family of nuclear phosphoproteins that are required for constitutive splicing and influence alternative splicing regulation.,WBGene00004704,10659208,10662315,1,Caenorhabditis elegans
WBGene00004705,rsp-8,C18D11.4,rsp-8 encodes the C. elegans ortholog of the conserved Tra2beta splicing activator.,WBGene00004705,11826215,11831475,1,Caenorhabditis elegans
WBGene00004706,rsr-1,F28D9.1,"rsr-1 encodes the C. elegans homolog of the SRm160 (serine/arginine-repeat related nuclear matrix protein of 160kDa) splicing coactivator; rsr-1 is an essential gene that is required for development, including normal pharyngeal morphology.",WBGene00004706,11177685,11182063,-1,Caenorhabditis elegans
WBGene00004723,sap-49,C08B11.5,"sap-49 encodes the C. elegans ortholog of mammalian SAP49, a component of the SF3b splicing factor, a U2 snRNP-associated protein complex; loss of sap-49 activity via RNAi results in embryonic lethality, a protruding vulva, reduced levels of gene expression (as assessed by a gfp reporter), and early onset of foci formation in strains expressing polyglutamine-YFP; SAP-49 exhibits sequence-specific RNA binding in vitro; sap-49 mRNA is expressed at all developmental stages, while a SAP-49::lacZ translational fusion protein is reportedly expressed in specific cells, including pharyngeal muscles, in larvae and adults.",WBGene00004723,8034345,8035767,-1,Caenorhabditis elegans
WBGene00004782,set-2,C26E6.9,"set-2 encodes a histone H3K4 methyltransferase closely related to the yeast Set1 and mammalian SET1/MLL proteins; SET-2 displays H3K4 methyltransferase activity in vitro and in C. elegans, regulates levels of H3K4; SET-2 plays a role in germline development, postembryonic development, negative regulation of lifespan in adult animals, and RNA interference; SET-2 localizes to nuclei.",WBGene00004782,4922446,4930204,-1,Caenorhabditis elegans
WBGene00004914,snr-1,Y116A8C.42,"snr-1 encodes an ortholog of human small nuclear ribonucleoprotein Sm D3, a protein that forms part of a heptameric complex required for the biogenesis and function of the snRNPs that catalyze mRNA splicing; in combination with the gene that encodes the human Sm B ortholog (snr-2) snr-1 affects embryonic viability and the nuclear association and localization of P granules in embryos based on an RNAi assay, snr-1 also affects embryonic viability, growth, and fertility based on large-scale RNAi assays; snr-1 is expressed in embryos and is expressed in larvae and adults in muscles of the alimentary system, in body-wall muscle, in seam cells and other unidentified cells.",WBGene00004914,17088058,17088834,1,Caenorhabditis elegans
WBGene00004915,snr-2,W08E3.1,,WBGene00004915,13339397,13340227,1,Caenorhabditis elegans
WBGene00004916,snr-3,T28D9.10,"snr-3 encodes an ortholog of human small nuclear ribonucleoprotein Sm D1, a protein that forms part of a heptameric complex required for biogenesis and function of the snRNPs that catalyze mRNA splicing; in combination with the gene that encodes the human Sm D2 ortholog (snr-4), snr-3 affects embryonic viability and nuclear association and localization of P granules in embryos, based on an RNAi assay; affects embryonic and larval viability based on large-scale RNAi assays; snr-3 is expressed in embryos and adult gonads.",WBGene00004916,6488829,6489761,-1,Caenorhabditis elegans
WBGene00004917,snr-4,C52E4.3,,WBGene00004917,11978518,11979970,-1,Caenorhabditis elegans
WBGene00004918,snr-5,ZK652.1,"snr-5 encodes an ortholog of human small nuclear ribonucleoprotein SmF, a protein that forms part of a heptameric complex required for biogenesis and function of the snRNPs that catalyze mRNA splicing; in combination with the gene that encodes the human SmE and SmG  orthologs (snr-6 and snr-7, respectively), snr-5 affects embryonic viability and nuclear association and localization of P granules in embryos, based on an RNAi assay; affects embryonic and larval viability based on large-scale RNAi assays; snr-5 is expressed in embryos and adult gonads.",WBGene00004918,7862070,7862576,1,Caenorhabditis elegans
WBGene00004919,snr-6,Y49E10.15,"snr-6 encodes the C. elegans ortholog of the small nuclear ribonucleoprotein E, one of seven subunits of the heptameric Sm complex required for the biogenesis and function of snRNPs that catalyze mRNA splicing; in addition to its predicted role in pre-mRNA processing, SNR-6 activity is essential for embryogenesis and is required for several aspects of germ cell specification including cell division patterns, localization and subcellular distribution of P granules, maintenance of transcriptional quiescence, and expression of the germ lineage-specific proteins PIE-1, GLD-1, and NOS-2; snr-6 is also required for wild-type levels of fertility; immunostaining of adults and embryos using antibodies raised against mammalian Sm proteins suggests that SNR-6 localizes to the nucleus and cytoplasm in many cell types, as well as to P granules in germ cells and their embryonic precursors.",WBGene00004919,12429172,12431321,-1,Caenorhabditis elegans
WBGene00004920,snr-7,Y71F9B.4,"snr-7 encodes the C. elegans ortholog of the small nuclear ribonucleoprotein G, one of seven subunits of the heptameric Sm complex required for the biogenesis and function of snRNPs that catalyze mRNA splicing; in addition to its predicted role in pre-mRNA processing, SNR-7 activity is essential for embryogenesis and for several aspects of germ cell specification including localization and subcellular distribution of P granules and maintenance of transcriptional quiescence; snr-7 is also required for RNA interference and for the overall health and fertility of the animal; immunostaining of adults and embryos using antibodies raised against mammalian Sm proteins and mammalian SmG, in particular, suggests that SNR-7 localizes to the nucleus and cytoplasm in many cell types, as well as to P granules in germ cells and their embryonic precursors.",WBGene00004920,2726656,2727545,1,Caenorhabditis elegans
WBGene00004984,spn-4,ZC404.8,"spn-4 encodes a protein containing an RNP-type RNA-binding domain; SPN-4 is required for rotation, but not polarization, of the mitotic spindle in the P1 blastomere of the two-cell stage embryo; SPN-4 is also required for mesectoderm and mesendoderm formation in conjunction with proper localization of maternal cell-fate determinants such as SKN-1; in addition, SPN-4 binds the glp-1 3' UTR and is necessary for glp-1 mRNA translation in the anterior blastomeres of the early embryo; conversely, SPN-4 binds and suppresses translation of pal-1 and skn-1 mRNAs in anterior blastomeres; in vitro, SPN-4 interacts with POS-1, a CCCH-type zinc finger protein that negatively regulates glp-1 mRNA translation in posterior blastomeres; SPN-4 is a P granule component, but is also detected in oocytes, the AB and P1 blastomeres at the two-cell stage, and in all four blastomeres at the four-cell stage, with higher levels in EMS and P2.",WBGene00004984,6783186,6784922,-1,Caenorhabditis elegans
WBGene00006321,sup-12,T22B2.4,"sup-12 encodes an RNA-binding protein that contains a conserved RNA recognition motif (RRM); during development, SUP-12 functions as a muscle-specific splicing factor to regulate alternative pre-mRNA processing of unc-60 and egl-15 transcripts; in vitro, SUP-12 can bind intronic regions of the unc-60 and egl-15 pre-mRNAs; specifically, SUP-12 binds the unc-60 intron 1A cooperatively with ASD-2, with which it physically interacts, to regulate alternative unc-60 pre-mRNA processing; a sup-12::gfp promoter fusion is expressed in body wall muscle and the pharynx; in body wall muscle, SUP-12::GFP localizes to nuclei in a speckled pattern.",WBGene00006321,3904591,3907673,1,Caenorhabditis elegans
WBGene00006359,swp-1,B0336.9,swp-1 encodes a protein containing two SWAP (Suppressor-of-White-APricot splicing regulator) domains that have been implicated in RNA binding; orthologous to C. briggsae CBG09000.,WBGene00006359,5702255,5705466,-1,Caenorhabditis elegans
WBGene00006367,sym-2,ZK1067.6,"sym-2 encodes a predicted RNA binding protein that contains three RNA recognition motifs (RRMs) similar to those of  Drosophila Fusilli and mammalian hnRNP F and H; genetic analyses indicate that, during embryonic development, sym-2 functions redundantly with mec-8, which also encodes an RRM-containing protein, to affect the structure of body wall muscles or their attachment to the body cuticle, perhaps by regulating maturation of transcripts essential for muscle development.",WBGene00006367,9178514,9188480,-1,Caenorhabditis elegans
WBGene00006423,asd-2,T21G5.5,"asd-2 encodes, by alternative splicing, three isoforms of a signal transduction and activation of RNA (STAR protein) orthologous to human QKI (OMIM:609590) and Drosophila HOW, and paralogous to C. elegans GLD-1; ASD-2 is required for normal axonal guidance, developmentally regulated mRNA splicing, and correct protein folding in vivo; ASD-2 is required for the mutually exclusive splicing of let-2 exons 9 (in embryos) versus 10 (in adults), and drives let-2's intron 10 excision in late larval stages via a conserved site resembling a QKI response element; ASD-2B is required for muscle-specific splicing of unc-60 mRNA in body wall muscle; ASD-2 physically interacts with the SUP-12 splicing factor and both proteins bind cooperatively to unc-60 intron 1A;  ASD-2A is expressed in hypodermis and pharyngeal muscles, while ASD-2B is expressed in the nuclei of body wall muscles and ASD-2C is expressed in body wall and pharyngeal muscles.",WBGene00006423,6877613,6888217,-1,Caenorhabditis elegans
WBGene00006514,tdp-1,F44G4.4,,WBGene00006514,8997827,8999725,1,Caenorhabditis elegans
WBGene00006697,uaf-1,Y92C3B.2,"uaf-1 encodes the large subunit of splicing factor U2AF (U2 Auxiliary Factor), orthologous to mammalian and Drosophila U2AF65; UAF-1 has been shown to bind RNA and this binding is enhanced by UAF-2; the abundance of one alternative transcript appears to be increased during starvation and this transcript is retained in the nucleus; uaf-1 affects embryonic viability, based on RNAi analysis.",WBGene00006697,1062792,1076555,-1,Caenorhabditis elegans
WBGene00006698,uaf-2,Y116A8C.35,"uaf-2 encodes an essential U2AF35 homolog clustered in an operon with cyp-13 (RRM/cyclophilin); UAF-2's sequence is somewhat atypical for U2AF proteins (it lacks an identifiable N-terminal RNA-binding RS domain, while having an glycine-rich C-terminal region).",WBGene00006698,17116763,17118760,-1,Caenorhabditis elegans
WBGene00006807,unc-75,C17D12.2,"unc-75 encodes an RNA-binding protein with two N-terminal RNA recognition motifs (RRMs), a glutamine/asparagine-rich linker domain, and a third C-terminal RRM that is orthologous to the mammalian CELF/BrunoL proteins that control pre-mRNA splicing; UNC-75 is required for neuron-specific splicing of unc-32 mRNA; UNC-75 binds the unc-32 intron 7a in vitro; both UNC-75 and EXC-7 are required in parallel for normal cholinergic neurotransmission; UNC-75 is expressed in all neurons and in neurosecretory gland cells, and is required for normal modulation of GABA- and acetylcholine-mediated neurotransmission; UNC-75 protein is found with other RRM proteins in dynamic nuclear speckles, consistent with a role in alternative mRNA splicing; unc-75 mutations can be rescued in vivo by a human unc-75 transgene, but not by exc-7 or W02D3.11, indicating that UNC-75 acts on evolutionarily conserved but highly specific pre-mRNA substrates.",WBGene00006807,11592302,11601605,1,Caenorhabditis elegans
WBGene00007111,,B0035.12,,WBGene00007111,11329466,11332944,-1,Caenorhabditis elegans
WBGene00007396,tiar-3,C07A4.1,,WBGene00007396,10167096,10171668,1,Caenorhabditis elegans
WBGene00007463,,C08H9.2,,WBGene00007463,9886538,9891081,-1,Caenorhabditis elegans
WBGene00007534,,C12D8.1,"C12D8.1 encodes two alternative proteins (through alternative splicing), that belong to an ancient family of single-stranded nucleic acid-binding proteins, and that are predicted to regulate gene expression through binding either mRNA or (locally) single-stranded DNA; they is most likely to specifically bind one or more discrete mRNAs and regulate their spatial localization or alternative splicing.",WBGene00007534,10236158,10238861,-1,Caenorhabditis elegans
WBGene00007706,,C25A1.4,,WBGene00007706,10169636,10172645,-1,Caenorhabditis elegans
WBGene00007961,,C35D6.4,"C35D6.4 encodes a CCCH tandem zinc finger (TZF) protein; based upon its sequence similarity to other TZF proteins, such as MEX-5 and POS-1, the product of C35D6.4 is predicted to function as an RNA-binding protein.",WBGene00007961,16350990,16351601,1,Caenorhabditis elegans
WBGene00008061,,C41G7.3,,WBGene00008061,9517023,9518734,-1,Caenorhabditis elegans
WBGene00008224,,C50B8.1,,WBGene00008224,13565863,13566958,1,Caenorhabditis elegans
WBGene00008362,cfim-2,D1046.1,"D1046.1 encodes a putative cleavage and polyadenylation specificity  factor, orthologous to human CPSF6 (OMIM:604979) and CPSF7, that is  required for normal locomotion and fertility; D1046.1 is expressed in  many, if not all, somatic tissues of larvae and adults; D1046.1(RNAi)  has no obvious synthetic phenotype in dual RNAi assays with W04D2.6 (an  ortholog of the splicing protein RED120).",WBGene00008362,8926335,8930345,1,Caenorhabditis elegans
WBGene00008549,din-1,F07A11.6,,WBGene00008549,11614636,11633609,-1,Caenorhabditis elegans
WBGene00008688,,F11A10.7,,WBGene00008688,12085423,12087026,1,Caenorhabditis elegans
WBGene00009141,ncbp-2,F26A3.2,"ncbp-2 encodes the C. elegans ortholog of the CBP20 subunit of the nuclear cap binding complex; by homology, NCBP-2 is predicted to play a role in mRNA decay; loss of ncbp-2 activity via RNAi indicates that this gene is essential for embryonic and larval development and in addition, plays a role in reproduction and vulval morphogenesis; staining of C. elegans embryos with an antibody to human CBP20 suggests that NCBP-2 localizes predominantly to the nuclear envelope.",WBGene00009141,7642427,7643328,-1,Caenorhabditis elegans
WBGene00009189,,F27D4.4,,WBGene00009189,7725019,7727113,1,Caenorhabditis elegans
WBGene00009314,,F32B4.4,,WBGene00009314,11517566,11526962,1,Caenorhabditis elegans
WBGene00009532,ccch-1,F38B7.1,ccch-1 encodes a CCCH tandem zinc finger (TZF) protein; based upon its sequence similarity to human tristetraprolin and ERF-2 the product of F38B7.1 is predicted to function as an RNA-binding protein that specifically binds to UAUU repeats.,WBGene00009532,11527831,11541211,1,Caenorhabditis elegans
WBGene00009537,ccch-2,F38C2.5,"F38C2.5 encodes a CCCH tandem zinc finger (TZF) protein; based upon its sequence similarity to C. elegans POS-1, the product of F38C2.5 is predicted to function as an RNA-binding protein.",WBGene00009537,16278213,16279018,1,Caenorhabditis elegans
WBGene00009539,,F38C2.7,"F38C2.7 encodes a CCCH tandem zinc finger (TZF) protein; based upon its sequence similarity to other TZF proteins, such as MEX-5 and POS-1, the product of F38C2.7 is predicted to function as an RNA-binding protein.",WBGene00009539,16276780,16277412,-1,Caenorhabditis elegans
WBGene00010046,,F54D1.1,,WBGene00010046,11261864,11263009,1,Caenorhabditis elegans
WBGene00010233,,F58B3.7,,WBGene00010233,11638316,11640134,1,Caenorhabditis elegans
WBGene00010476,rnf-113,K01G5.1,,WBGene00010476,10755625,10757642,-1,Caenorhabditis elegans
WBGene00010478,,K01G5.5,"The K01G5.5 gene encodes an ortholog of human DYSKERIN (DKC1; OMIM:300126), which when mutated leads to X-linked dyskeratosis congenita (OMIM:305000); the K01G5.5 protein is predicted to be mitochondrial with 68% accuracy.",WBGene00010478,10748429,10750084,1,Caenorhabditis elegans
WBGene00010619,,K07A1.15,,WBGene00010619,9608926,9609705,-1,Caenorhabditis elegans
WBGene00010677,,K08F4.2,,WBGene00010677,10126758,10128956,-1,Caenorhabditis elegans
WBGene00010846,,M04B2.2,,WBGene00010846,11528056,11530632,1,Caenorhabditis elegans
WBGene00010908,zbp-1,M88.5,"The protein product of this gene is predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).",WBGene00010908,4553646,4560350,1,Caenorhabditis elegans
WBGene00011043,rbm-28,R05H10.2,,WBGene00011043,14857190,14866940,1,Caenorhabditis elegans
WBGene00011059,,R06C1.4,,WBGene00011059,11930725,11931759,1,Caenorhabditis elegans
WBGene00011155,,R09B3.2,,WBGene00011155,11909356,11910104,-1,Caenorhabditis elegans
WBGene00011156,,R09B3.3,,WBGene00011156,11910328,11911021,-1,Caenorhabditis elegans
WBGene00011240,,R11A8.7,"The protein product of this gene is predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).",WBGene00011240,10374905,10387296,1,Caenorhabditis elegans
WBGene00011279,asd-1,R74.5,"asd-1 encodes an ortholog of human RBM9 et al., and paralog of FOX-1 and SPN-4; ASD-1 isoforms have an RNA recognition motif and 1-2 glutamine/asparagine-rich domains; ASD-1 and FOX-1 both bind a site in egl-15 mRNA that is required to repress exon 5B splicing into mature mRNA; ASD-1 alone is partly required for exon 5A expression in muscle cells, while FOX-1 alone is dispensable for it; double asd-1;fox-1 mutants completely fail to express exon 5A in muscle cells, and have a synthetic egl-15 phenotype, while asd-1;spn-4 mutants do not; asd-1 is expressed pharyngeally.",WBGene00011279,4197285,4202289,1,Caenorhabditis elegans
WBGene00011376,gla-3,T02E1.3,"gla-3 encodes a TIS11-like protein with two CCCH-like zinc-finger domains that inhibits apoptosis in the germline, and weakly inhibits RAS signalling in vulval development along with RAS-induced muscle protein degradation; GLA-3 inhibits physiological apoptosis in oocytes, keeping it down to a normal level of ~50% in hermaphrodite gonads; gla-3 is expressed in the germline of L4 larvae and adults, and interacts with mpk-1 both genetically and physically; gla-3 requires core apoptotic proteins (CED-3 and CED-4) for its excess apoptotic mutant phenotype, but not others (CEP-1, CLK-2, or HUS-1) required for DNA damage-induced apoptosis; gla-3 mutants have increased germline apoptosis and reduced brood size due to defective pachytene exit from meiosis I, and also show weak enhancment of the multivulva phenotype of let-60(gf) or lip-1(zh15) mutations; gla-3 mutants have temperature-sensitive progressive muscle dystrophy, consistent with hyperactivation of the RAS/MAPK pathway in muscle cells; gla-3(RNAi) hermaphrodites display elevated levels of physiological germline apoptosis, independent of CEP-1.",WBGene00011376,8214410,8218004,1,Caenorhabditis elegans
WBGene00011408,,T04A8.6,"T04A8.6 encodes an ortholog of S. cerevisiae NOP15 that may suppress  tumorous growth in the germ line by ensuring robust larval germline  proliferation; like PRO-1, -2, and -3, T04A8.6 is probably required for  ribosome biogenesis, suggesting a link between biogenesis in the distal  sheath and control of cell division in the germ line.",WBGene00011408,4692092,4693299,-1,Caenorhabditis elegans
WBGene00011589,,T07F10.3,,WBGene00011589,12868026,12870035,-1,Caenorhabditis elegans
WBGene00011722,,T11G6.8,,WBGene00011722,10861402,10864234,1,Caenorhabditis elegans
WBGene00011730,drr-2,T12D8.2,,WBGene00011730,13642419,13643570,-1,Caenorhabditis elegans
WBGene00012245,,W04D2.6,"W04D2.6 encodes, by alternative splicing, two isoforms of an ortholog of  human RBM25 (RED120); W04D2.6 is required (in conjunction with RSP-6)  for normally rapid growth and (in conjunction with CPF-1 and F59A2.4)  for oogenesis and embryonic viability; the long isoform of W04D2.6 has  both an N-terminal RNA recognition domain (RRM) that is  isoform-specific, and a C-terminal nucleic acid-binding domain (PWI)  that is found in both isoforms; W04D2.6(RNAi) animals have a relatively  subtle slow-growth phenotype, but display more severe synthetic  phenotypes in double RNAi against both W04D2.6 and other putative  splicing factors (CPF-1, RSP-6, or F59A2.4); W04D2.6 binds the  N-terminal region of long UNC-13 isoforms in yeast two-hybrid assays; by  orthology, W04D2.6 is expected to participate in splicing and 3'-end  formation, and to bind RSR-1.",WBGene00012245,12498255,12503744,1,Caenorhabditis elegans
WBGene00012277,ccch-3,W05B10.2,,WBGene00012277,12658528,12659687,-1,Caenorhabditis elegans
WBGene00012478,,Y18D10A.8,,WBGene00012478,12844323,12853109,1,Caenorhabditis elegans
WBGene00012558,,Y37D8A.21,,WBGene00012558,12928379,12931867,-1,Caenorhabditis elegans
WBGene00012904,tiar-2,Y46G5A.13,,WBGene00012904,12768742,12773844,1,Caenorhabditis elegans
WBGene00013144,,Y53C12B.2,,WBGene00013144,9738935,9742884,-1,Caenorhabditis elegans
WBGene00013293,,Y57G11A.5,,WBGene00013293,14511884,14512505,-1,Caenorhabditis elegans
WBGene00013307,,Y57G11C.9,,WBGene00013307,14787168,14790841,1,Caenorhabditis elegans
WBGene00013319,ccch-5,Y57G11C.25,"Y57G11C.25 encodes a CCCH tandem zinc finger (TZF) protein; based upon its sequence similarity to C. elegans POS-1, the product of Y57G11C.25 is predicted to function as an RNA-binding protein.",WBGene00013319,14919624,14920423,1,Caenorhabditis elegans
WBGene00013325,,Y57G11C.36,,WBGene00013325,14771419,14773535,-1,Caenorhabditis elegans
WBGene00013347,,Y59A8B.10,,WBGene00013347,18070020,18077460,-1,Caenorhabditis elegans
WBGene00013370,,Y60A9.3,,WBGene00013370,14383251,14383862,1,Caenorhabditis elegans
WBGene00013581,,Y79H2A.4,,WBGene00013581,12041299,12042091,1,Caenorhabditis elegans
WBGene00013703,,Y106G6D.7,,WBGene00013703,10122471,10130216,1,Caenorhabditis elegans
WBGene00013794,dct-13,Y116A8C.17,"Y116A8C.17 encodes a CCCH tandem zinc finger (TZF) protein; based upon its sequence similarity to other TZF proteins, such as MEX-5 and POS-1, the product of Y116A8C.17 is predicted to function as an RNA-binding protein.",WBGene00013794,17024318,17025129,-1,Caenorhabditis elegans
WBGene00013796,,Y116A8C.19,"Y116A8C.19 encodes a CCCH tandem zinc finger (TZF) protein; based upon its sequence similarity to C. elegans POS-1, the product of Y116A8C.19 is predicted to function as an RNA-binding protein.",WBGene00013796,17038923,17039653,-1,Caenorhabditis elegans
WBGene00013797,,Y116A8C.20,"Y116A8C.20 encodes a CCCH tandem zinc finger (TZF) protein; based upon its sequence similarity to C. elegans POS-1, the product of Y116A8C.20 is predicted to function as an RNA-binding protein.",WBGene00013797,17040913,17041523,1,Caenorhabditis elegans
WBGene00013808,sfa-1,Y116A8C.32,"sfa-1 encodes an ortholog of splicing factor SF1, which enables 3' splice site recognition by binding U2AF65 and the intron branch site during splicing complex formation; SFA-1 shares several domains with mammalian SF1 proteins (a U2AF65 binding domain, a hnRNP K homology domain, two RNA-binding zinc knuckles, and a proline-rich C-terminal domain), while also sharing a hydrophilic N-terminal domain (enriched for serine, arginine, lysine, and aspartate) with Drosophila but not mammalian SF1; SFA-1's N-terminal domain resembles RS domains in other splicing proteins; sfa-1 is required for embryonic viability, normally rapid growth, and proper body morphology.",WBGene00013808,17104216,17110982,-1,Caenorhabditis elegans
